Portfolio,Return,Volatility,Sharpe,Beta,VaR_95,CVaR_95,VaR_99,CVaR_99,HHI,N_Assets
Max Sharpe,0.5809402412346425,0.07589781969407364,6.99546104716497,0.10212511938810445,-0.005337559427865527,-0.0072898717412209265,-0.008539766956956544,-0.008964040754823101,0.2335942776327266,7
Min Volatility,0.36164326244856587,0.05708421547866762,5.45935964671402,0.09170426207081143,-0.004020971097412861,-0.005791524670558084,-0.006005025570912011,-0.007579951221353947,0.2464366856182597,5
