,Max Sharpe,Min Volatility
ibovespa,0.29634513322181927,0.07773483025062675
dow_jones,0.0,2.7118643411306618e-17
hang_seng,0.0,0.0
nasdaq,3.18943052064624e-17,0.0
nifty,0.1823659621471771,0.2967678965005346
nikkei,0.022462118192178752,0.0
semiconductor,0.020586390598742885,1.2695805652925146e-17
sp500,0.0,0.09437993053530512
saudi,0.035719215193015304,0.23111734271353357
shanghai,0.29999999999999916,0.3
south_africa,0.142521180647072,3.527753568264353e-18
