Date,Close,High,Low,Open,Volume
2025-02-12,196.7738037109375,198.44981384277344,189.60842895507812,197.98385620117188,4290836657
2025-02-13,194.46095275878906,198.26075744628906,189.42771911621094,196.7738037109375,2755407329
2025-02-14,199.9356689453125,205.12501525878906,194.3540496826172,194.45455932617188,3732334277
2025-02-15,194.48208618164062,200.0533905029297,192.81378173828125,199.88677978515625,1869221857
2025-02-16,188.4864044189453,196.0703125,186.97987365722656,194.4811553955078,2160799161
2025-02-17,177.6897430419922,189.50650024414062,175.2635498046875,188.48521423339844,4345262539
2025-02-18,169.08428955078125,178.94607543945312,161.30545043945312,177.68861389160156,6684824301
2025-02-19,169.01080322265625,174.12147521972656,163.9593963623047,169.08543395996094,3717681436
2025-02-20,176.04888916015625,176.588134765625,167.8734588623047,169.00534057617188,3347070717
2025-02-21,168.89163208007812,180.4339599609375,167.30506896972656,176.03500366210938,4684370707
2025-02-22,172.16285705566406,174.46559143066406,168.367431640625,168.89163208007812,2026581266
2025-02-23,168.03811645507812,173.0360565185547,166.62765502929688,172.16346740722656,1621130854
2025-02-24,141.98948669433594,169.56248474121094,140.56651306152344,168.03811645507812,7062261489
2025-02-25,144.10775756835938,146.7398681640625,132.48583984375,141.99234008789062,9341433919
2025-02-26,134.83132934570312,144.8746795654297,130.69107055664062,144.09996032714844,4916419994
2025-02-27,137.6208038330078,142.1814727783203,134.729736328125,134.83160400390625,3723520943
2025-02-28,148.03001403808594,148.183837890625,125.74221801757812,137.6207733154297,7544673033
2025-03-01,143.6757049560547,150.7871551513672,138.68467712402344,148.03021240234375,3305410077
2025-03-02,178.49549865722656,178.50856018066406,140.29757690429688,143.67672729492188,11540413390
2025-03-03,142.02108764648438,178.6346435546875,139.79010009765625,178.4952392578125,9241009702
2025-03-04,144.9165802001953,146.39646911621094,131.57347106933594,142.03318786621094,8035056091
2025-03-05,146.26730346679688,149.4854736328125,140.59686279296875,144.91880798339844,4501939048
2025-03-06,143.355224609375,152.7792510986328,142.7803955078125,146.27066040039062,4204376336
2025-03-07,139.20913696289062,150.02325439453125,135.7171630859375,143.355224609375,6090751623
2025-03-08,136.94207763671875,140.90457153320312,135.48297119140625,139.20913696289062,2270939562
2025-03-09,126.43543243408203,139.72576904296875,125.93571472167969,136.9428253173828,3429886567
2025-03-10,118.291748046875,131.24095153808594,115.91789245605469,126.43543243408203,5519806938
2025-03-11,125.26394653320312,128.14886474609375,113.189208984375,118.29167175292969,5259428587
2025-03-12,126.58324432373047,130.6551055908203,121.36756134033203,125.26190185546875,4112201839
2025-03-13,123.28614807128906,128.15863037109375,120.90947723388672,126.58324432373047,2871050068
2025-03-14,133.31448364257812,135.6434783935547,123.11714935302734,123.2865982055664,3161542602
2025-03-15,135.91253662109375,136.48133850097656,132.55995178222656,133.31324768066406,1844463215
2025-03-16,125.98810577392578,136.468994140625,125.38740539550781,135.9167938232422,2456569508
2025-03-17,128.16371154785156,130.52687072753906,125.86190032958984,125.98741912841797,2487364373
2025-03-18,125.31269836425781,128.16134643554688,121.94453430175781,128.16134643554688,2534317858
2025-03-19,135.572509765625,135.92552185058594,124.29732513427734,125.31228637695312,3539287974
2025-03-20,127.49718475341797,135.77261352539062,126.85357666015625,135.57415771484375,2469659459
2025-03-21,128.43031311035156,129.95623779296875,124.97737121582031,127.49885559082031,2370317364
2025-03-22,128.4849853515625,131.57618713378906,127.93255615234375,128.429931640625,1442831196
2025-03-23,132.5993194580078,133.9619598388672,128.34225463867188,128.48448181152344,1711242607
2025-03-24,140.86927795410156,144.88308715820312,132.16180419921875,132.5993194580078,4207560020
2025-03-25,143.81707763671875,147.05799865722656,138.3466796875,140.87472534179688,3585353324
2025-03-26,137.28857421875,145.3684844970703,136.1363525390625,143.81707763671875,3083070981
2025-03-27,138.34738159179688,140.1745147705078,135.92221069335938,137.29095458984375,2660348034
2025-03-28,129.42315673828125,138.95281982421875,127.98094177246094,138.3472442626953,3532896573
2025-03-29,124.587646484375,130.38050842285156,123.07389068603516,129.4245147705078,2253256988
2025-03-30,124.64263153076172,126.6233901977539,123.3007583618164,124.58648681640625,1639017444
2025-03-31,124.69412994384766,127.6968994140625,123.07923889160156,124.64402770996094,3206702485
2025-04-01,126.68238067626953,130.0324249267578,123.94904327392578,124.6953353881836,2993289339
2025-04-02,117.75762939453125,135.69578552246094,117.74427795410156,126.67960357666016,5399672438
2025-04-03,117.06145477294922,120.78982543945312,112.47826385498047,117.74919891357422,4633002432
2025-04-04,122.78688049316406,123.90060424804688,113.60323333740234,117.06481170654297,5182517335
2025-04-05,120.25899505615234,122.78691101074219,117.18880462646484,122.78643035888672,1667996329
2025-04-06,105.7120132446289,120.93267822265625,104.0041275024414,120.25850677490234,3822458629
2025-04-07,106.90277862548828,111.47198486328125,96.58806610107422,105.7120132446289,8644174246
